entry,R1-,R2,organocatalyst,organocatalyst(mol%),solvent,under,temp(℃),time(h),Cu(OAc)2(mol%),AcOH(mol%),yield
17,[*]C1=CC=CC=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5,CH3CN,air,rt,36,0,10,72
18,[*]C1=CC=CC=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,0,CH3CN,air,rt,36,0,20,0
19,[*]C1=CC=CC=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,CH3CN,air,rt,24,0,20,94
20,[*]C1=CC=CC=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,CH3CN,air,rt,24,0,20,25
21,[*]C1=CC=CC=C1,C,O=C1C=CC(C=C1C(C)(C)C)=O,10,CH3CN,air,rt,24,0,20,19
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2a,[*]C1=CC=CO1,C,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10,CH3CN,O2,rt,48,0,0,99
2b,[*]C1=CC=C(F)C=C1,C,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10,CH3CN,O2,rt,48,0,0,80
2c,[*]C1=CC=C(Cl)C=C1,C,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10,CH3CN,O2,rt,48,0,0,97
2d,[*]C1=CC=C(Br)C=C1,C,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10,CH3CN,O2,rt,72,0,0,98
2e,[*]C1=CC=C([N+]([O-])=O)C=C1,C,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10,CH3CN,O2,rt,48,0,0,99
2f,[*]C1=CC=C(C)C=C1,C,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10,CH3CN,O2,rt,48,0,0,75
2g,[*]C1=CC=C(OC)C=C1,C,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10,CH3CN,O2,rt,48,0,0,95
