entry,R1-,R2,organocatalyst,organocatalyst(mol%),under,temp(℃),time(h),Cu(OAc)2(mol%),AcOH(mol%),収率(%)
3,CC1=CC=CC=C1,H,OC1=CC(C)=CC=C1C(O)=O,5,O2,90,24,0,0,74
4,CC1=CC=CC=C1,H,OC1=CC(C)=CC=C1C(O)=O,5,O2,90,12,0,0,15
5,CC1=CC=CC=C1,H,OC1=CC(OC)=CC=C1C(O)=O,5,O2,90,24,0,0,90
6,CC1=CC=CC=C1,H,OC1=CC(OC)=CC=C1C(O)=O,5,O2,90,12,0,0,81
7,CC1=CC=CC=C1,H,OC1=CC(OC)=CC=C1C(O)=O,5,O2,90,8,0,0,43
8,CC1=CC=CC=C1,H,COC1=CC(OC)=C(C(O)=O)C(O)=C1,5,O2,90,12,0,0,88
9,CC1=CC=CC=C1,H,COC1=CC(OC)=C(C(O)=O)C(O)=C1,5,O2,90,6,0,0,95
10,CC1=CC=CC=C1,H,COC1=CC(OC)=C(C(O)=O)C(O)=C1,5,O2,90,2,0,0,65
11,CC1=CC=CC=C1,H,CC(/N=N/C(C)(C#N)C)(C#N)C,5,O2,90,6,0,0,33
12,CC1=CC=CC=C1,H,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,5,O2,90,6,0,0,93
13,CC1=CC=CC=C1,H,O=C1C(C=C(O)C(C(C)(C)C)=C1)=O,5,O2,90,6,0,0,84
,,,,,,,,,,
2a,CC1=CC=CC=C1,H,OC1=CC(OC)=CC(OC)=C1C(O)=O,5,O2,90,6,0,0,87
2b,CC1=C(C)C=CC=C1,H,OC1=CC(OC)=CC(OC)=C1C(O)=O,5,O2,90,6,0,0,85
2c,CC1=CC=C(C)C=C1,H,OC1=CC(OC)=CC(OC)=C1C(O)=O,5,O2,90,6,0,0,85
2d,CC1=C(OC)C=CC=C1,H,OC1=CC(OC)=CC(OC)=C1C(O)=O,5,O2,90,6,0,0,86
2e,CC1=CC(OC)=CC=C1,H,OC1=CC(OC)=CC(OC)=C1C(O)=O,5,O2,90,6,0,0,84
2f,CC1=CC=C(OC)C=C1,H,OC1=CC(OC)=CC(OC)=C1C(O)=O,5,O2,90,6,0,0,68
2g,CC1=CC=C(C(C)(C)C)C=C1,H,OC1=CC(OC)=CC(OC)=C1C(O)=O,5,O2,90,6,0,0,88
2h,CC1=CC=C(Cl)C=C1,H,OC1=CC(OC)=CC(OC)=C1C(O)=O,5,O2,90,6,0,0,85
2i,CC1=CC=C(C(F)(F)F)C=C1,H,OC1=CC(OC)=CC(OC)=C1C(O)=O,5,O2,90,6,0,0,68
2j,CC1=C(C=CC=C2)C2=CC=C1,H,OC1=CC(OC)=CC(OC)=C1C(O)=O,5,O2,90,6,0,0,87
2k,CC1=CC=CO1,H,OC1=CC(OC)=CC(OC)=C1C(O)=O,5,O2,90,6,0,0,37
2l,CC1=NC=CC=C1,H,OC1=CC(OC)=CC(OC)=C1C(O)=O,5,O2,90,6,0,0,9
2m,CC1=CC=CS1,H,OC1=CC(OC)=CC(OC)=C1C(O)=O,5,O2,90,6,0,0,84
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
8,CC1=CC=CC=C1,H,-,0,O2,rt,6,0,0,6
,,,,,,,,,,
1,CC1=CC=CC=C1,H,,5,O2,90,2,0,0,86
2,CC1=CC=CC=C1,H,,5,O2,90,2,0,0,84
3,CC1=CC=CC=C1,H,,5,O2,90,2,0,0,0
,,,,,,,,,,
2a,CC1=CC=CC=C1,H,OC1=CC(O)=CC(O)=C1C(O)=O,5,O2,90,2,0,0,86
2b,CC1=C(C)C=CC=C1,H,OC1=CC(O)=CC(O)=C1C(O)=O,5,O2,90,2,0,0,39
2c,CC1=CC=C(C)C=C1,H,OC1=CC(O)=CC(O)=C1C(O)=O,5,O2,90,2,0,0,88
2d,CC1=C(OC)C=CC=C1,H,OC1=CC(O)=CC(O)=C1C(O)=O,5,O2,90,2,0,0,83
2e,CC1=CC(OC)=CC=C1,H,OC1=CC(O)=CC(O)=C1C(O)=O,5,O2,90,2,0,0,83
2f,CC1=CC=C(OC)C=C1,H,OC1=CC(O)=CC(O)=C1C(O)=O,5,O2,90,2,0,0,86
2g,CC1=CC=C(C(C)(C)C)C=C1,H,OC1=CC(O)=CC(O)=C1C(O)=O,5,O2,90,2,0,0,87
,,,,,,,,,,
,,,,,,,,,,
1,CC1=CC=CC=C1,H,-,5,O2,90,24,0,0,0
2,CC1=CC=CC=C1,H,OC1=CC=CC=C1,5,O2,90,24,0,0,7
3,CC1=CC=CC=C1,H,O=C(C1=CC=CC=C1)O,5,O2,90,24,0,0,32
4,CC1=CC=CC=C1,H,OC1=C(C(O)=O)C=CC=C1,5,O2,90,24,0,0,80
5,CC1=CC=CC=C1,H,O=C(C1=C(OC)C=CC=C1)O,5,O2,90,24,0,0,6
6,CC1=CC=CC=C1,H,OC1=C(C(OC)=O)C=CC=C1,5,O2,90,24,0,0,11
7,CC1=CC=CC=C1,H,OC1=C(CC(O)=O)C=CC=C1,5,O2,90,24,0,0,32
8,CC1=CC=CC=C1,H,CC(O)=O,5,O2,90,24,0,0,3
9,CC1=CC=CC=C1,H,CC1=CC=C(S(=O)(O)=O)C=C1,5,O2,90,24,0,0,0
,,,,,,,,,,
1n,CC1=CC=C(CO)C=C1,H,OC1=CC(OC)=CC(OC)=C1C(O)=O,5,O2,90,6,0,0,50
1o,CC1=CC=C(C(O)C)C=C1,H,OC1=CC(OC)=CC(OC)=C1C(O)=O,5,O2,90,6,0,0,40
1p,CC1=CC=C(O)C=C1,H,OC1=CC(OC)=CC(OC)=C1C(O)=O,5,O2,90,6,0,0,0
,,,,,,,,,,
1,CC1=CC=CC=C1,H,OC1=CC(O)=CC=C1C(O)=O,5,O2,90,2,0,0,4
2,CC1=CC=CC=C1,H,OC1=CC=CC(O)=C1C(O)=O,5,O2,90,2,0,0,6
3,CC1=CC=CC=C1,H,OC1=CC=CC=C1C(O)=O,5,O2,90,2,0,0,3
4,CC1=CC=CC=C1,H,OC1=CC=C(C(O)=O)C=C1,5,O2,90,2,0,0,3
