,yield,organocatalyst(mol%),temp(℃),time(h),704_R1-,1013_R1-,35_organocatalyst,51_organocatalyst,120_organocatalyst,173_organocatalyst,281_organocatalyst,413_organocatalyst,527_organocatalyst,579_organocatalyst,599_organocatalyst,728_organocatalyst,863_organocatalyst,905_organocatalyst,1076_organocatalyst,1128_organocatalyst,1138_organocatalyst,1144_organocatalyst,1196_organocatalyst,1234_organocatalyst,1307_organocatalyst,1763_organocatalyst,1902_organocatalyst,1911_organocatalyst,1993_organocatalyst
111,99.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0
112,75.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0
113,95.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0
114,95.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0
115,81.0,0.7463483959544044,-0.935601812799328,2.346371350678285,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0
116,95.0,0.7463483959544044,-0.935601812799328,2.346371350678285,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0
117,89.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0
118,99.0,0.7463483959544044,-0.935601812799328,2.346371350678285,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0
119,83.0,0.7463483959544044,0.1998520543469425,1.0873428210460347,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0
120,99.0,0.7463483959544044,-0.935601812799328,-0.8011999734023415,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0
